Code site;Adresse;Opérateur;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;Type;Arrondissement;geo_shape;geo_point_2d
T10565;8  rue  PORT MAHON;BOUYGUES;1996-05-31;;2022-01-12;;;75002;"{""coordinates"": [2.3341229995522172, 48.869522999767334], ""type"": ""Point""}";48.869522999767334, 2.3341229995522172
T10696;62  rue  RICHELIEU;BOUYGUES;2000-12-27;;2022-11-04;;;75002;"{""coordinates"": [2.3384564994770636, 48.868560000384015], ""type"": ""Point""}";48.868560000384015, 2.3384564994770636
T15137;41  avenue  DE L'OPERA;BOUYGUES;2002-11-23;;;;;75002;"{""coordinates"": [2.33287649992534, 48.86880300039287], ""type"": ""Point""}";48.86880300039287, 2.33287649992534
T15441;120 RUE DE TURENNE;BOUYGUES;2021-10-29;;;;;75003;"{""coordinates"": [2.3647905001214977, 48.86356499965459], ""type"": ""Point""}";48.86356499965459, 2.3647905001214977
T10535;4  rue  DE SEVRES;BOUYGUES;2000-11-03;;;;;75006;"{""coordinates"": [2.329466519190843, 48.85209966178712], ""type"": ""Point""}";48.85209966178712, 2.329466519190843
T10557;23  rue  SERVANDONI;BOUYGUES;2003-10-15;;;;;75006;"{""coordinates"": [2.3348520002093855, 48.84939000031868], ""type"": ""Point""}";48.84939000031868, 2.3348520002093855
T10540;116  rue  DU BAC;BOUYGUES;2001-09-11;;2021-10-04;;;75007;"{""coordinates"": [2.3235795000651187, 48.852675000166734], ""type"": ""Point""}";48.852675000166734, 2.3235795000651187
T15713;14-24  rue  DES ECLUSES SAINT MARTIN;BOUYGUES;1999-12-09;;2021-03-19;;;75010;"{""coordinates"": [2.3662159233477786, 48.87719487481898], ""type"": ""Point""}";48.87719487481898, 2.3662159233477786
T10676;41  boulevard  DE STRASBOURG;BOUYGUES;1999-09-08;;2022-03-15;;;75010;"{""coordinates"": [2.355590028300109, 48.87182175258758], ""type"": ""Point""}";48.87182175258758, 2.355590028300109
T15798;197  boulevard  VOLTAIRE;BOUYGUES;2000-02-17;;2020-10-20;;;75011;"{""coordinates"": [2.3887270220164285, 48.85300860341593], ""type"": ""Point""}";48.85300860341593, 2.3887270220164285
T41590;3 RUE SERVAN;BOUYGUES;2022-12-07;;2022-10-04;;;75011;"{""coordinates"": [2.384083035953912, 48.85912860739489], ""type"": ""Point""}";48.85912860739489, 2.384083035953912
T10152;104  boulevard  PONIATOWSKI;BOUYGUES;1996-05-31;;;;;75012;"{""coordinates"": [2.406078000290304, 48.834945000437024], ""type"": ""Point""}";48.834945000437024, 2.406078000290304
T10621;3  avenue  DE CORBERA;BOUYGUES;1996-05-31;;;;;75012;"{""coordinates"": [2.381581005198342, 48.8456196097752], ""type"": ""Point""}";48.8456196097752, 2.381581005198342
T10667;51  boulevard  BLANQUI;BOUYGUES;1996-05-31;;2021-03-23;;;75013;"{""coordinates"": [2.350593968259459, 48.82941064045956], ""type"": ""Point""}";48.82941064045956, 2.350593968259459
T10694;1/7  avenue  DE LA PORTE DE CHOISY;BOUYGUES;2000-01-19;;2021-12-09;;;75013;"{""coordinates"": [2.366154942688963, 48.818061625358446], ""type"": ""Point""}";48.818061625358446, 2.366154942688963
T10532;76  rue  LECOURBE;BOUYGUES;1996-05-31;;2021-03-25;;;75015;"{""coordinates"": [2.3056075001008107, 48.84360368530304], ""type"": ""Point""}";48.84360368530304, 2.3056075001008107
T10928;1-3  avenue  DE LA PORTE BRANÇION;BOUYGUES;1997-09-15;;2022-03-14;;;75015;"{""coordinates"": [2.301281999763682, 48.827447999932794], ""type"": ""Point""}";48.827447999932794, 2.301281999763682
T40702;38 RUE DES CEVENNES;BOUYGUES;2023-01-27;;;;;75015;"{""coordinates"": [2.2789620001544564, 48.84311699989301], ""type"": ""Point""}";48.84311699989301, 2.2789620001544564
T15065;14  rue  DE BASSANO;BOUYGUES;2003-07-25;;2022-07-03;;;75016;"{""coordinates"": [2.2970125569012945, 48.86857419352292], ""type"": ""Point""}";48.86857419352292, 2.2970125569012945
T10959;65  avenue  SECRÉTAN;BOUYGUES;1998-01-09;;2021-02-05;;;75019;"{""coordinates"": [2.376426515717672, 48.8799187322484], ""type"": ""Point""}";48.8799187322484, 2.376426515717672
T10934;48  rue  REBEVAL;BOUYGUES;1997-08-29;;2021-04-03;;;75019;"{""coordinates"": [2.379348000251068, 48.87464399957605], ""type"": ""Point""}";48.87464399957605, 2.379348000251068
T10909;148-150  boulevard  DE LA VILLETTE;BOUYGUES;1998-03-17;;2021-04-06;;;75019;"{""coordinates"": [2.3706798334919834, 48.87976562156009], ""type"": ""Point""}";48.87976562156009, 2.3706798334919834
T15505;57  rue  EMILE BOLLAERT;BOUYGUES;2017-04-20;;2021-09-16;;;75019;"{""coordinates"": [2.3738580000438883, 48.8996279996322], ""type"": ""Point""}";48.8996279996322, 2.3738580000438883
T15895;13  rue  DE BELLEVUE;BOUYGUES;2000-02-01;;;;;75019;"{""coordinates"": [2.393946000524938, 48.879486000371045], ""type"": ""Point""}";48.879486000371045, 2.393946000524938
T10664;24-26  rue  DES PRAIRIES;BOUYGUES;1996-05-31;;2021-12-28;;;75020;"{""coordinates"": [2.403634499929891, 48.86233199982268], ""type"": ""Point""}";48.86233199982268, 2.403634499929891
75102_002_03;22 RUE DE LA PAIX;FREE MOBILE;2012-06-14;2014-03-20;;;3G/4G;75002;"{""coordinates"": [2.3319539995361485, 48.86979300035713], ""type"": ""Point""}";48.86979300035713, 2.3319539995361485
75104_012_01;4 RUE DE LA VERRERIE;FREE MOBILE;2015-11-03;2015-11-03;;;3G/4G;75004;"{""coordinates"": [2.3554574999768443, 48.85704899973401], ""type"": ""Point""}";48.85704899973401, 2.3554574999768443
75108_013_02;21 RUE DE BALZAC;FREE MOBILE;2012-07-24;2014-01-24;2022-11-10;;3G/4G/5G;75008;"{""coordinates"": [2.3023180716352174, 48.875256687814954], ""type"": ""Point""}";48.875256687814954, 2.3023180716352174
75111_057_12;94 rue de montreuil;FREE MOBILE;2019-06-10;2019-06-10;;;3G/4G/5G;75011;"{""coordinates"": [2.3953500004698687, 48.85071300029649], ""type"": ""Point""}";48.85071300029649, 2.3953500004698687
75112_067_03;31-37 Boulevard Picpus 75012 Paris;FREE MOBILE;2021-04-29;2021-04-29;2021-05-24;;3G/4G/5G;75012;"{""coordinates"": [2.4014609999580077, 48.84366600044429], ""type"": ""Point""}";48.84366600044429, 2.4014609999580077
75113_013_07;6 BOULEVARD VINCENT AURIOL;FREE MOBILE;2016-10-17;2016-11-03;;;3G/4G/5G;75013;"{""coordinates"": [2.37311292299063, 48.83732473266732], ""type"": ""Point""}";48.83732473266732, 2.37311292299063
75113_032_03;66 BOULEVARD VINCENT AURIOL;FREE MOBILE;2014-12-22;2014-12-22;;;3G/4G/5G;75013;"{""coordinates"": [2.366036999440955, 48.83448599981145], ""type"": ""Point""}";48.83448599981145, 2.366036999440955
75113_065_07;13/15, Rue Moulin des près;FREE MOBILE;2019-09-06;2019-09-06;;;3G/4G/5G;75013;"{""coordinates"": [2.3529015001955425, 48.82929299976314], ""type"": ""Point""}";48.82929299976314, 2.3529015001955425
75114_031_01;30 BIS BOULEVARD JOURDAN;FREE MOBILE;2016-02-22;2016-02-22;;;3G/4G;75014;"{""coordinates"": [2.3340905501986517, 48.821507343430795], ""type"": ""Point""}";48.821507343430795, 2.3340905501986517
75114_002_01;64 RUE DE LA SANTE;FREE MOBILE;2012-04-19;2015-01-22;2023-11-15;;3G/4G;75014;"{""coordinates"": [2.3412429711271185, 48.83059864989345], ""type"": ""Point""}";48.83059864989345, 2.3412429711271185
75116_141_01;17, rue de l'Annonciation 75016 Paris;FREE MOBILE;2021-12-01;2021-12-01;2021-12-02;;3G/4G/5G;75016;"{""coordinates"": [2.2798450278089515, 48.8563117104304], ""type"": ""Point""}";48.8563117104304, 2.2798450278089515
75116_118_04;19 rue Greuze 75016 Paris;FREE MOBILE;2021-02-02;2021-02-15;2023-01-11;;3G/4G/5G;75016;"{""coordinates"": [2.283102000664002, 48.8641319996777], ""type"": ""Point""}";48.8641319996777, 2.283102000664002
75116_138_01;7 Rue Raffet;FREE MOBILE;2023-07-27;2023-07-27;2023-08-23;;3G/4G/5G;75016;"{""coordinates"": [2.2651279832721536, 48.85120727564474], ""type"": ""Point""}";48.85120727564474, 2.2651279832721536
75116_034_03;41 BOULEVARD SUCHET;FREE MOBILE;2015-09-11;2015-09-11;;;3G/4G/5G;75016;"{""coordinates"": [2.2643144998392275, 48.856455000420944], ""type"": ""Point""}";48.856455000420944, 2.2643144998392275
75116_094_12;27 rue de la pompe;FREE MOBILE;2019-11-12;2019-11-12;;;3G/4G/5G;75016;"{""coordinates"": [2.275017621541254, 48.86026583231778], ""type"": ""Point""}";48.86026583231778, 2.275017621541254
75117_016_01;190 bis avenue de Clichy;FREE MOBILE;2014-01-03;2014-02-01;2023-02-22;;3G/4G;75017;"{""coordinates"": [2.315239886313953, 48.8935253250767], ""type"": ""Point""}";48.8935253250767, 2.315239886313953
75117_038_01;85 RUE AMPERE;FREE MOBILE;2015-01-21;2016-10-17;;;3G/4G;75017;"{""coordinates"": [2.2993300941649086, 48.88522869078063], ""type"": ""Point""}";48.88522869078063, 2.2993300941649086
75119_004_02;99 BOULEVARD MACDONALD;FREE MOBILE;2012-05-18;2013-10-03;;;3G/4G/5G;75019;"{""coordinates"": [2.384741453947479, 48.89835527473168], ""type"": ""Point""}";48.89835527473168, 2.384741453947479
75119_031_01;22 RUE DES LILAS;FREE MOBILE;2014-11-26;2014-11-26;;;3G/4G;75019;"{""coordinates"": [2.3966505002887946, 48.87960300016329], ""type"": ""Point""}";48.87960300016329, 2.3966505002887946
75120_084_01;186 Boulevard de Charonne;FREE MOBILE;2023-06-20;2023-06-20;2023-07-04;;3G/4G/5G;75020;"{""coordinates"": [2.392808532788927, 48.85773359897625], ""type"": ""Point""}";48.85773359897625, 2.392808532788927
00032205U5;43 Rue de l'Abre Sec;Orange;2017-12-05;2017-12-05;2023-12-22;;;75001;"{""coordinates"": [2.34239850044337, 48.86110800029742], ""type"": ""Point""}";48.86110800029742, 2.34239850044337
00080175U8;12, rue Saint Sauveur;Orange;2013-04-05;2020-10-23;2023-02-13;;;75002;"{""coordinates"": [2.3488604994591857, 48.86603100023432], ""type"": ""Point""}";48.86603100023432, 2.3488604994591857
00032372U5;2 Rue Crillon;Orange;2017-10-25;2017-10-26;;;;75004;"{""coordinates"": [2.3653405119753668, 48.848409625819876], ""type"": ""Point""}";48.848409625819876, 2.3653405119753668
00024014U3;1 Place Monge;Orange;;2020-08-18;;;;75005;"{""coordinates"": [2.3518755002462384, 48.84262199975804], ""type"": ""Point""}";48.84262199975804, 2.3518755002462384
00000131U7;4, rue de sèvres;Orange;2011-03-22;2014-08-05;2021-12-02;;;75006;"{""coordinates"": [2.329230479995391, 48.85209833877021], ""type"": ""Point""}";48.85209833877021, 2.329230479995391
00000136U7;1, rue Jacob;Orange;2013-10-11;2013-12-16;;;;75006;"{""coordinates"": [2.3366655006003647, 48.854502000437314], ""type"": ""Point""}";48.854502000437314, 2.3366655006003647
00015887U3;51, rue de Lille;Orange;2019-02-05;2019-02-05;;;;75007;"{""coordinates"": [2.3272144647029065, 48.85916333675705], ""type"": ""Point""}";48.85916333675705, 2.3272144647029065
00000022U8;8, rue boissy d'anglas;Orange;2013-01-04;2012-11-07;2019-11-18;;;75008;"{""coordinates"": [2.3214690002658642, 48.8681010000814], ""type"": ""Point""}";48.8681010000814, 2.3214690002658642
00022245U3;3 rue de Messine;Orange;2017-05-12;2017-05-12;;;;75008;"{""coordinates"": [2.310610500195261, 48.87657899985329], ""type"": ""Point""}";48.87657899985329, 2.310610500195261
