Code site;Adresse;Opérateur;Mise en service;Mise en service 4G;Mise en service 5G - 3500;Mise en service 5G - 700;Type;Arrondissement;geo_shape;geo_point_2d
T15392;3  place  DES PYRAMIDES;BOUYGUES;2014-12-31;;2023-06-29;;;75001;"{""coordinates"": [2.3321429998658014, 48.86411400009866], ""type"": ""Point""}";48.86411400009866, 2.3321429998658014
T07523;2 RUE DE LA MONNAIE;BOUYGUES;;;;;;75001;"{""coordinates"": [2.3429789994974906, 48.85919100004075], ""type"": ""Point""}";48.85919100004075, 2.3429789994974906
T15526;30  rue  DE GRAMONT;BOUYGUES;2015-07-07;;2021-07-18;;;75002;"{""coordinates"": [2.3371750622205965, 48.8711616541825], ""type"": ""Point""}";48.8711616541825, 2.3371750622205965
T10573;5-7  rue  RATAUD;BOUYGUES;1996-05-31;;2022-01-12;;;75005;"{""coordinates"": [2.345650744498304, 48.84114214591115], ""type"": ""Point""}";48.84114214591115, 2.345650744498304
T15959;75  rue  D'AMSTERDAM;BOUYGUES;2015-05-02;;2022-03-16;;;75008;"{""coordinates"": [2.3269994997615875, 48.88166399999357], ""type"": ""Point""}";48.88166399999357, 2.3269994997615875
T15982;21  rue  LAFFITTE;BOUYGUES;2015-12-29;;2021-04-01;;;75009;"{""coordinates"": [2.3376780001106354, 48.87333899959726], ""type"": ""Point""}";48.87333899959726, 2.3376780001106354
T15038;51  rue  SAINT GEORGES;BOUYGUES;2002-09-30;;2021-10-07;;;75009;"{""coordinates"": [2.3372719208459993, 48.87814434605424], ""type"": ""Point""}";48.87814434605424, 2.3372719208459993
T16759;1  rue  SCRIBE;BOUYGUES;2015-04-27;;;;;75009;"{""coordinates"": [2.3299750621488657, 48.87062166107264], ""type"": ""Point""}";48.87062166107264, 2.3299750621488657
T41605;8 BOULEVARD DE DENAIN;BOUYGUES;2022-11-15;;;;;75010;"{""coordinates"": [2.3546430000898395, 48.87929699962017], ""type"": ""Point""}";48.87929699962017, 2.3546430000898395
T96638;7 RUE DE PARADIS;BOUYGUES;2023-02-24;;;;;75010;"{""coordinates"": [2.3546080710089066, 48.87448263623622], ""type"": ""Point""}";48.87448263623622, 2.3546080710089066
T96836;77 Rue de BERCY;BOUYGUES;2018-07-18;;2020-06-10;;;75012;"{""coordinates"": [2.3812569899557823, 48.83846461078752], ""type"": ""Point""}";48.83846461078752, 2.3812569899557823
T10576;32  avenue  DU GENERAL MICHEL BIZOT;BOUYGUES;2000-01-24;;2020-08-05;;;75012;"{""coordinates"": [2.399733000113338, 48.83371200043814], ""type"": ""Point""}";48.83371200043814, 2.399733000113338
T10564;7-8  square  GEORGES CONTENOT;BOUYGUES;1999-11-29;;2021-12-16;;;75012;"{""coordinates"": [2.3957819998609335, 48.8376990001867], ""type"": ""Point""}";48.8376990001867, 2.3957819998609335
T41607;29 RUE CHARCOT;BOUYGUES;2022-07-08;;;;;75013;"{""coordinates"": [2.370329999874202, 48.83020199970776], ""type"": ""Point""}";48.83020199970776, 2.370329999874202
T10123;63-65  boulevard  VICTOR;BOUYGUES;1996-05-31;;;;;75015;"{""coordinates"": [2.2877964769791497, 48.83318170269161], ""type"": ""Point""}";48.83318170269161, 2.2877964769791497
T15879;14  boulevard  DE VAUGIRARD;BOUYGUES;2002-07-10;;;;;75015;"{""coordinates"": [2.3194224965044388, 48.84193867092998], ""type"": ""Point""}";48.84193867092998, 2.3194224965044388
T10660;7  rue  DU GENERAL HENRYS;BOUYGUES;1996-05-31;;2021-04-27;;;75017;"{""coordinates"": [2.3265236214409653, 48.89680266453607], ""type"": ""Point""}";48.89680266453607, 2.3265236214409653
T15838;75  rue  SAINT FARGEAU;BOUYGUES;2000-09-26;;;;;75020;"{""coordinates"": [2.406721500362969, 48.87244799973051], ""type"": ""Point""}";48.87244799973051, 2.406721500362969
T15835;11  rue  PIXERECOURT;BOUYGUES;2000-12-14;;;;;75020;"{""coordinates"": [2.3952555002611753, 48.87076499979249], ""type"": ""Point""}";48.87076499979249, 2.3952555002611753
75101_007_09;5 et 7, rue Thérèse;FREE MOBILE;2017-05-09;2017-05-09;;;3G/4G;75001;"{""coordinates"": [2.3360625004299895, 48.86588700005951], ""type"": ""Point""}";48.86588700005951, 2.3360625004299895
75101_015_03;3, rue de la Banque;FREE MOBILE;2019-04-23;2019-04-25;;;3G/4G/5G;75001;"{""coordinates"": [2.340127051603639, 48.86640065133671], ""type"": ""Point""}";48.86640065133671, 2.340127051603639
75101_036_01;8 PLACE MARGUERITE DE NAVARRE;FREE MOBILE;2022-10-26;2022-10-26;2023-04-13;;3G/4G/5G;75001;"{""coordinates"": [2.3465204999861795, 48.86073000013386], ""type"": ""Point""}";48.86073000013386, 2.3465204999861795
75102_006_01;10 RUE BACHAUMONT;FREE MOBILE;2016-11-30;2016-11-25;;;3G/4G/5G;75002;"{""coordinates"": [2.3458545003224374, 48.86607600036604], ""type"": ""Point""}";48.86607600036604, 2.3458545003224374
75104_009_01;2, rue Crillon;FREE MOBILE;2014-03-20;2014-03-20;2021-09-30;;3G/4G/5G;75004;"{""coordinates"": [2.3651044886068826, 48.848408373567096], ""type"": ""Point""}";48.848408373567096, 2.3651044886068826
75105_011_04;104 BD ST GERMAIN;FREE MOBILE;2013-11-22;2013-11-22;;;3G/4G;75005;"{""coordinates"": [2.3427955191107293, 48.85166764844249], ""type"": ""Point""}";48.85166764844249, 2.3427955191107293
75109_011_06;19 RUE TRONCHET;FREE MOBILE;2017-09-14;2017-09-14;2023-04-13;;3G/4G;75008;"{""coordinates"": [2.3258519997274147, 48.87223199969635], ""type"": ""Point""}";48.87223199969635, 2.3258519997274147
75108_049_02;41 boulevard Malesherbes;FREE MOBILE;2017-12-27;2017-12-27;2023-05-24;;3G/4G;75008;"{""coordinates"": [2.3203239156208784, 48.873731211866065], ""type"": ""Point""}";48.873731211866065, 2.3203239156208784
75109_009_01;43 RUE BLANCHE;FREE MOBILE;2013-12-13;2013-12-13;;;3G/4G/5G;75009;"{""coordinates"": [2.331341999769477, 48.88050300002526], ""type"": ""Point""}";48.88050300002526, 2.331341999769477
75110_004_02;11 RUE DES MESSAGERIES;FREE MOBILE;2013-01-04;2013-11-08;;;3G/4G/5G;75010;"{""coordinates"": [2.34983250060462, 48.876254999790326], ""type"": ""Point""}";48.876254999790326, 2.34983250060462
75110_048_01;251 rue du Faubourg Saint-Martin;FREE MOBILE;2019-06-10;2019-06-12;2022-08-16;;3G/4G/5G;75010;"{""coordinates"": [2.3672429993139112, 48.88297800038418], ""type"": ""Point""}";48.88297800038418, 2.3672429993139112
75111_065_03;150, avenue Parmentier 75011 Paris;FREE MOBILE;2020-04-02;2020-04-02;;;3G/4G;75011;"{""coordinates"": [2.3712884997172146, 48.86990999995806], ""type"": ""Point""}";48.86990999995806, 2.3712884997172146
75111_082_02;34 RUE SEDAINE;FREE MOBILE;2022-10-20;2022-10-17;2022-12-01;;3G/4G/5G;75011;"{""coordinates"": [2.3740289997398385, 48.85661699974225], ""type"": ""Point""}";48.85661699974225, 2.3740289997398385
75111_067_01;9, rue Emilio Castelar 75012 Paris;FREE MOBILE;2020-04-24;2020-04-24;;;3G/4G;75012;"{""coordinates"": [2.3762654995483965, 48.84908400008911], ""type"": ""Point""}";48.84908400008911, 2.3762654995483965
75113_039_01;39 BOULEVARD DE PORT ROYAL;FREE MOBILE;2016-06-24;2016-06-22;2023-05-19;;3G/4G;75013;"{""coordinates"": [2.3453595090391146, 48.837570531001624], ""type"": ""Point""}";48.837570531001624, 2.3453595090391146
75113_026_01;106_108 BOULEVARD KELLERMAN;FREE MOBILE;2014-10-27;2014-10-27;2023-04-26;;3G/4G;75013;"{""coordinates"": [2.3448793045020637, 48.8196353545974], ""type"": ""Point""}";48.8196353545974, 2.3448793045020637
75114_030_05;18 BOULEVARD SAINT JACQUES;FREE MOBILE;2017-11-07;2017-11-07;2022-05-31;;3G/4G/5G;75014;"{""coordinates"": [2.33971747519584, 48.83256965136801], ""type"": ""Point""}";48.83256965136801, 2.33971747519584
75116_032_03;57 RUE D AUTEUIL;FREE MOBILE;2014-12-02;2014-12-02;;;3G/4G/5G;75016;"{""coordinates"": [2.263136740774211, 48.847877274018735], ""type"": ""Point""}";48.847877274018735, 2.263136740774211
75117_001_01;8 RUE EPINETTES;FREE MOBILE;2012-06-25;2013-11-20;;;3G/4G/5G;75017;"{""coordinates"": [2.3219921150323852, 48.89435466910789], ""type"": ""Point""}";48.89435466910789, 2.3219921150323852
75117_027_01;165 RUE DE ROME;FREE MOBILE;2013-03-06;2013-10-02;;;3G/4G;75017;"{""coordinates"": [2.314422000364561, 48.887109000035444], ""type"": ""Point""}";48.887109000035444, 2.314422000364561
75117_091_01;53-55 Rue Legendre;FREE MOBILE;2023-12-13;2023-12-13;;;3G/4G/5G;75017;"{""coordinates"": [2.3165908675765996, 48.88547479236092], ""type"": ""Point""}";48.88547479236092, 2.3165908675765996
75118_033_06;121, rue de Caulaincourt;FREE MOBILE;2017-10-02;2017-10-02;2022-02-24;;3G/4G;75018;"{""coordinates"": [2.3416469998702327, 48.88984500024397], ""type"": ""Point""}";48.88984500024397, 2.3416469998702327
75118_019_05;51 RUE LETORT;FREE MOBILE;2014-05-12;2014-06-19;;;3G/4G;75018;"{""coordinates"": [2.3436360002405228, 48.89657699976127], ""type"": ""Point""}";48.89657699976127, 2.3436360002405228
75119_023_02;8 RUE PREAULT;FREE MOBILE;2014-09-17;2014-09-17;2022-08-05;;3G/4G;75019;"{""coordinates"": [2.38270500029244, 48.87751500038637], ""type"": ""Point""}";48.87751500038637, 2.38270500029244
75119_024_01;25 BIS RUE DE ROMAINVILLE;FREE MOBILE;2015-03-31;2015-03-31;;;3G/4G;75019;"{""coordinates"": [2.400088500667383, 48.877469999855926], ""type"": ""Point""}";48.877469999855926, 2.400088500667383
75120_024_01;337, RUE DES PYRENEES;FREE MOBILE;2016-09-27;2016-09-27;;;3G/4G;75020;"{""coordinates"": [2.392537500400369, 48.87131399967853], ""type"": ""Point""}";48.87131399967853, 2.392537500400369
75120_076_01;63 BIS RUE D AVRON;FREE MOBILE;2022-09-29;2022-09-29;2022-11-04;;3G/4G/5G;75020;"{""coordinates"": [2.4031934999628946, 48.85227000012545], ""type"": ""Point""}";48.85227000012545, 2.4031934999628946
00022907U5;12, rue Duphot;Orange;2011-08-09;2018-12-20;2023-02-01;;;75001;"{""coordinates"": [2.3256944998491416, 48.86823599967671], ""type"": ""Point""}";48.86823599967671, 2.3256944998491416
00080168U8;15b, bd st denis;Orange;2014-12-11;2015-01-29;2022-10-31;;;75002;"{""coordinates"": [2.3535495003025577, 48.86930699972834], ""type"": ""Point""}";48.86930699972834, 2.3535495003025577
00031606U5;9 place de l'Hotel de Ville;Orange;2016-05-26;2016-05-26;2023-12-18;;;75004;"{""coordinates"": [2.351114999822112, 48.85718400006664], ""type"": ""Point""}";48.85718400006664, 2.351114999822112
00000436U7;8, rue jean calvin;Orange;2011-08-04;2013-06-12;2020-12-10;;;75005;"{""coordinates"": [2.3487160311342357, 48.84175124243573], ""type"": ""Point""}";48.84175124243573, 2.3487160311342357
00005059U5;16, rue de berri;Orange;2013-04-18;2013-04-26;2019-07-17;;;75008;"{""coordinates"": [2.3046998949675923, 48.87278619669846], ""type"": ""Point""}";48.87278619669846, 2.3046998949675923
00021619U5;7, rue Caumartin;Orange;2012-05-04;2012-10-24;;;;75009;"{""coordinates"": [2.3279759999404006, 48.87063900013982], ""type"": ""Point""}";48.87063900013982, 2.3279759999404006
00000033U8;105, bd villette;Orange;2012-06-20;2013-08-09;2022-03-17;;;75010;"{""coordinates"": [2.3699610003933995, 48.879765000059955], ""type"": ""Point""}";48.879765000059955, 2.3699610003933995
00010484U5;206 rue du Faubourg Saint Denis;Orange;;;;;;75010;"{""coordinates"": [2.358664912404638, 48.882212367616546], ""type"": ""Point""}";48.882212367616546, 2.358664912404638
00015845U5;6 Boulevard VOLTAIRE;Orange;2013-01-09;2013-09-27;2023-11-21;;;75011;"{""coordinates"": [2.3659111035009817, 48.86621750855234], ""type"": ""Point""}";48.86621750855234, 2.3659111035009817
00000087U8;50, av daumesnil;Orange;2015-07-13;2019-07-05;2020-11-13;;;75012;"{""coordinates"": [2.3785064996962264, 48.84558300044308], ""type"": ""Point""}";48.84558300044308, 2.3785064996962264
00006737U5;54, quai de la rapée;Orange;2012-12-10;2017-11-06;;;;75012;"{""coordinates"": [2.3718815010845895, 48.842792380518915], ""type"": ""Point""}";48.842792380518915, 2.3718815010845895
00000408U7;156, rue léon maurice Nordmann;Orange;2012-02-07;2013-10-23;;;;75013;"{""coordinates"": [2.3421294775784958, 48.83346064886241], ""type"": ""Point""}";48.83346064886241, 2.3421294775784958
00032563U3;111 Boulevard Brune;Orange;2017-04-04;2017-04-04;2021-12-01;;;75014;"{""coordinates"": [2.315938499461536, 48.825558000086424], ""type"": ""Point""}";48.825558000086424, 2.315938499461536
00000051U7;277/285 Boulevard de Raspail;Orange;2011-10-05;2013-02-13;2022-12-16;;;75014;"{""coordinates"": [2.3321115000690957, 48.83600699966327], ""type"": ""Point""}";48.83600699966327, 2.3321115000690957
00024318U3;10, Rue Pierre Larousse;Orange;2015-05-05;2015-04-30;2023-01-24;;;75014;"{""coordinates"": [2.3150645336135227, 48.82845532469585], ""type"": ""Point""}";48.82845532469585, 2.3150645336135227
00000063U7;109, rue st charles;Orange;2011-05-04;2013-03-28;2020-12-04;;;75015;"{""coordinates"": [2.2845375004397894, 48.84528599975774], ""type"": ""Point""}";48.84528599975774, 2.2845375004397894
00000039U7;159/169, rue blomet;Orange;2012-05-14;2018-01-16;;;;75015;"{""coordinates"": [2.293763764009312, 48.83737430401163], ""type"": ""Point""}";48.83737430401163, 2.293763764009312
00000100U7;112/114, av kléber;Orange;2013-04-19;2013-11-22;2021-04-09;;;75016;"{""coordinates"": [2.287636954036464, 48.864140297673764], ""type"": ""Point""}";48.864140297673764, 2.287636954036464
00020939U3;76, avenue Raymond Poincaré;Orange;2014-02-11;2014-01-13;2023-12-20;;;75016;"{""coordinates"": [2.285852556436338, 48.8687947041897], ""type"": ""Point""}";48.8687947041897, 2.285852556436338
00080199U7;115, Avenue Victor Hugo;Orange;2011-01-05;2013-11-26;;;;75016;"{""coordinates"": [2.282624999709244, 48.868380000106484], ""type"": ""Point""}";48.868380000106484, 2.282624999709244
00000191U1;1, rue Cino Del Ducas;Orange;2012-06-27;2013-08-29;2021-01-25;;;75017;"{""coordinates"": [2.2854375001693152, 48.88617299960124], ""type"": ""Point""}";48.88617299960124, 2.2854375001693152
00000200U8;164, rue de saussure;Orange;2012-01-26;2013-07-03;2022-12-28;;;75017;"{""coordinates"": [2.3048551047415735, 48.89018994612364], ""type"": ""Point""}";48.89018994612364, 2.3048551047415735
00000116U7;46, av des ternes;Orange;2013-05-10;2013-04-25;;;;75017;"{""coordinates"": [2.2926480225616843, 48.87928857990764], ""type"": ""Point""}";48.87928857990764, 2.2926480225616843
00000129U8;62/64, rue marx dormoy;Orange;2016-10-12;2016-10-11;2022-05-25;;;75018;"{""coordinates"": [2.3600880002380547, 48.88889999970454], ""type"": ""Point""}";48.88889999970454, 2.3600880002380547
00000242U8;11-13 rue de l'Ourcq;Orange;2011-08-11;2013-09-05;2022-02-22;;;75019;"{""coordinates"": [2.3844329996691735, 48.88755000001769], ""type"": ""Point""}";48.88755000001769, 2.3844329996691735
00000015U8;54, Boulevard de la Villette;Orange;2011-04-22;2013-05-23;2022-11-17;;;75019;"{""coordinates"": [2.374410429396361, 48.87459838332047], ""type"": ""Point""}";48.87459838332047, 2.374410429396361
00017184U5;80 Rue Botzaris;Orange;2017-12-18;2018-01-11;2023-05-11;;;75019;"{""coordinates"": [2.3889049178437545, 48.8794403975496], ""type"": ""Point""}";48.8794403975496, 2.3889049178437545
00000043U8;23, rue miguel hidalgo;Orange;2014-07-01;2014-06-20;;;;75019;"{""coordinates"": [2.3904810003939074, 48.88140300006885], ""type"": ""Point""}";48.88140300006885, 2.3904810003939074
751117;2  RUE COMMINES;SFR;;;;;++4G+;75003;"{""coordinates"": [2.3648490006419234, 48.86150400018218], ""type"": ""Point""}";48.86150400018218, 2.3648490006419234
753565;1  RUE DE L AVE MARIA;SFR;;;2022-05-23;;2G+3G+4G+5G;75004;"{""coordinates"": [2.3604705000557176, 48.85261200043597], ""type"": ""Point""}";48.85261200043597, 2.3604705000557176
753618;25  AVENUE RAPP;SFR;;;;;++4G+;75007;"{""coordinates"": [2.3010030002366375, 48.859487999579265], ""type"": ""Point""}";48.859487999579265, 2.3010030002366375
751132;21  RUE BALZAC;SFR;;;2021-03-19;;2G+3G+4G+5G;75008;"{""coordinates"": [2.302081928201478, 48.875255311271445], ""type"": ""Point""}";48.875255311271445, 2.302081928201478
753603;52  RUE DE PONTHIEU;SFR;;;;;2G+3G+4G+;75008;"{""coordinates"": [2.3066594996822345, 48.87167399991648], ""type"": ""Point""}";48.87167399991648, 2.3066594996822345
757273;41  BOULEVARD MALESHERBES;SFR;;;;;2G+3G+4G+;75008;"{""coordinates"": [2.3205620845276296, 48.87357678742058], ""type"": ""Point""}";48.87357678742058, 2.3205620845276296
7510041101;38 RUE DE PROVENCE;SFR;;;2023-03-07;;2G+3G+4G+;75009;"{""coordinates"": [2.3364630005202773, 48.87426600012028], ""type"": ""Point""}";48.87426600012028, 2.3364630005202773
757199;24 RUE CHAUCHAT;SFR;;;;;2G+3G+4G+;75009;"{""coordinates"": [2.339851499642172, 48.87454499985724], ""type"": ""Point""}";48.87454499985724, 2.339851499642172
750757;34  AVENUE CLAUDE VELLEFAUX;SFR;;;2021-04-07;;2G+3G+4G+5G;75010;"{""coordinates"": [2.3704830005424413, 48.87444599988806], ""type"": ""Point""}";48.87444599988806, 2.3704830005424413
7510052032;272 Rue du Faubourg Saint Martin;SFR;;;2023-12-29;;+3G+4G+5G;75010;"{""coordinates"": [2.3683725000685607, 48.88351799989331], ""type"": ""Point""}";48.88351799989331, 2.3683725000685607
750314;14  RUE PELEE;SFR;;;2023-09-25;;2G+3G+4G+5G;75011;"{""coordinates"": [2.3708834999403234, 48.85990199990594], ""type"": ""Point""}";48.85990199990594, 2.3708834999403234
750976;77  RUE DE BERCY;SFR;;;2021-03-19;;2G+3G+4G+5G;75012;"{""coordinates"": [2.3810210112423413, 48.83846338992238], ""type"": ""Point""}";48.83846338992238, 2.3810210112423413
751268;70  RUE DE PICPUS;SFR;;;2021-09-16;;+3G+4G+5G;75012;"{""coordinates"": [2.3974785002619154, 48.842541000093654], ""type"": ""Point""}";48.842541000093654, 2.3974785002619154
751221;42  RUE DE L OUEST;SFR;;;2021-04-06;;2G+3G+4G+5G;75014;"{""coordinates"": [2.3196455157550075, 48.836375328874084], ""type"": ""Point""}";48.836375328874084, 2.3196455157550075
7510045513;32 Rue Lucien Boussoutrot;SFR;;;2021-06-30;;++4G+5G;75015;"{""coordinates"": [2.273733000583458, 48.836699999955606], ""type"": ""Point""}";48.836699999955606, 2.273733000583458
756170;2  AVENUE DE VERSAILLES;SFR;;;2022-05-12;;++4G+5G;75016;"{""coordinates"": [2.277940500296975, 48.85119900023826], ""type"": ""Point""}";48.85119900023826, 2.277940500296975
7510045509;57 AVENUE RAYMOND POINCARE;SFR;;;;;+3G+4G+;75016;"{""coordinates"": [2.285770499634145, 48.8672819997799], ""type"": ""Point""}";48.8672819997799, 2.285770499634145
750474;36  RUE PIERRE DEMOURS;SFR;;;2021-03-19;;2G+3G+4G+5G;75017;"{""coordinates"": [2.294765999351248, 48.88126800030203], ""type"": ""Point""}";48.88126800030203, 2.294765999351248
7510052030;13 AVENUE DE LA PORTE DE VINCENNES;SFR;;;2022-12-15;;2G+3G+4G+5G;75020;"{""coordinates"": [2.4132419999767936, 48.847238999932756], ""type"": ""Point""}";48.847238999932756, 2.4132419999767936
T15134;21  place  DU MARCHE SAINT HONORE;BOUYGUES;2007-12-13;;;;;75001;"{""coordinates"": [2.3310585002999447, 48.86678699967433], ""type"": ""Point""}";48.86678699967433, 2.3310585002999447
T10916;13  boulevard  BONNE NOUVELLE;BOUYGUES;1997-10-17;;;;;75002;"{""coordinates"": [2.350448999314814, 48.869982000364814], ""type"": ""Point""}";48.869982000364814, 2.350448999314814
T15986;8  rue  POLIVEAU;BOUYGUES;2015-02-18;;2021-03-18;;;75005;"{""coordinates"": [2.3610419998589953, 48.840426000339], ""type"": ""Point""}";48.840426000339, 2.3610419998589953
T10996;9  quai  SAINT BERNARD / JUSSIEU;BOUYGUES;1999-09-17;;;;;75005;"{""coordinates"": [2.358576000474944, 48.84825599985048], ""type"": ""Point""}";48.84825599985048, 2.358576000474944
T10604;4  rue  DE TALLEYRAND;BOUYGUES;1998-11-03;;;;;75007;"{""coordinates"": [2.315227500219744, 48.858642000271516], ""type"": ""Point""}";48.858642000271516, 2.315227500219744
T15019;5  rue  MONSIEUR;BOUYGUES;2006-07-13;;;;;75007;"{""coordinates"": [2.316425517419948, 48.851298674630605], ""type"": ""Point""}";48.851298674630605, 2.316425517419948
T96524;17 BOULEVARD MALESHERBES;BOUYGUES;2020-01-06;;;;;75008;"{""coordinates"": [2.321721000155258, 48.87185400000635], ""type"": ""Point""}";48.87185400000635, 2.321721000155258
T16769;40 BOULEVARD HAUSSMANN;BOUYGUES;2022-12-18;;;;;75009;"{""coordinates"": [2.332435500161669, 48.87319500041389], ""type"": ""Point""}";48.87319500041389, 2.332435500161669
T15712;20  rue  ALIBERT;BOUYGUES;2000-11-14;;;;;75010;"{""coordinates"": [2.3681295000525626, 48.87170099977166], ""type"": ""Point""}";48.87170099977166, 2.3681295000525626
T15735;41 RUE SAINT SABIN;BOUYGUES;2018-04-23;;2021-08-31;;;75011;"{""coordinates"": [2.369200499946494, 48.85799400042465], ""type"": ""Point""}";48.85799400042465, 2.369200499946494
T00940;165 RUE DE CHARONNE;BOUYGUES;2021-11-17;;2021-10-29;;;75011;"{""coordinates"": [2.39089693967684, 48.85569371667053], ""type"": ""Point""}";48.85569371667053, 2.39089693967684
T10129;11  avenue  DE TREMBLAY;BOUYGUES;1997-03-14;;2021-03-10;;;75012;"{""coordinates"": [2.454478204480185, 48.83400534826865], ""type"": ""Point""}";48.83400534826865, 2.454478204480185
T15799;27  rue  DE CHALIGNY;BOUYGUES;2002-02-01;;;;;75012;"{""coordinates"": [2.384104499532663, 48.84970500002607], ""type"": ""Point""}";48.84970500002607, 2.384104499532663
T10684;64  rue  DU MOULIN DES PRES;BOUYGUES;2000-02-23;;2021-05-10;;;75013;"{""coordinates"": [2.353596426704093, 48.826092751119546], ""type"": ""Point""}";48.826092751119546, 2.353596426704093
T10922;18  rue  DE L'AUDE;BOUYGUES;1998-05-18;;;;;75014;"{""coordinates"": [2.3335020001248155, 48.82671899993741], ""type"": ""Point""}";48.82671899993741, 2.3335020001248155
T16790;212  rue  LECOURBE;BOUYGUES;2017-05-18;;2020-12-03;;;75015;"{""coordinates"": [2.294445507778046, 48.84022730398832], ""type"": ""Point""}";48.84022730398832, 2.294445507778046
T10512;18-20  rue  SEBASTIEN MERCIER;BOUYGUES;1996-05-31;;2021-03-19;;;75015;"{""coordinates"": [2.277790997806263, 48.84479928793857], ""type"": ""Point""}";48.84479928793857, 2.277790997806263
T16798;9 ter rue  BOULAINVILLIERS;BOUYGUES;2016-10-31;;2021-03-10;;;75016;"{""coordinates"": [2.2769820004979193, 48.851990999729594], ""type"": ""Point""}";48.851990999729594, 2.2769820004979193
T15776;92  quai  LOUIS BLÉRIOT;BOUYGUES;2001-09-24;;2021-09-01;;;75016;"{""coordinates"": [2.2723494093848062, 48.84529116647777], ""type"": ""Point""}";48.84529116647777, 2.2723494093848062
T15755;61  rue  LAURISTON;BOUYGUES;2002-07-10;;;;;75016;"{""coordinates"": [2.290442557918213, 48.869514699787295], ""type"": ""Point""}";48.869514699787295, 2.290442557918213
T16902;6  square  DU TROCADÉRO;BOUYGUES;2016-08-16;;;;;75016;"{""coordinates"": [2.2826790005004125, 48.86267399977844], ""type"": ""Point""}";48.86267399977844, 2.2826790005004125
T96875;164 RUE DE LA SAUSSURE;BOUYGUES;2021-12-27;;2022-01-20;;;75017;"{""coordinates"": [2.3050913159790407, 48.89019131717799], ""type"": ""Point""}";48.89019131717799, 2.3050913159790407
T08651;4 AVENUE DE LA PORTE DE CLICHY;BOUYGUES;2021-07-05;;;;;75017;"{""coordinates"": [2.3130135002351366, 48.89508300029716], ""type"": ""Point""}";48.89508300029716, 2.3130135002351366
T19471;50 AVENUE DE LA PORTE DES POISSONNIERS;BOUYGUES;2020-02-18;;2021-12-30;;;75018;"{""coordinates"": [2.352357000543493, 48.90039300011035], ""type"": ""Point""}";48.90039300011035, 2.352357000543493
T15077;28  rue  D'ORSEL;BOUYGUES;2001-12-05;;;;;75018;"{""coordinates"": [2.3437990911525883, 48.88382464718702], ""type"": ""Point""}";48.88382464718702, 2.3437990911525883
T15912;21-27  rue  TANDOU;BOUYGUES;2000-01-26;;2023-04-24;;;75019;"{""coordinates"": [2.380432500329121, 48.88653300032591], ""type"": ""Point""}";48.88653300032591, 2.380432500329121
T10912;1  rue  EUGÈNE REISZ;BOUYGUES;1997-11-12;;2021-03-28;;;75020;"{""coordinates"": [2.4105824993922185, 48.856661999837755], ""type"": ""Point""}";48.856661999837755, 2.4105824993922185
T15832;42  rue  SORBIER;BOUYGUES;2001-07-25;;2021-07-16;;;75020;"{""coordinates"": [2.3931494994088927, 48.865490999843026], ""type"": ""Point""}";48.865490999843026, 2.3931494994088927
T10937;3-5-7-9    SQUARE MONSOREAU;BOUYGUES;1997-11-07;;2021-10-07;;;75020;"{""coordinates"": [2.399530499627046, 48.85568999999497], ""type"": ""Point""}";48.85568999999497, 2.399530499627046
T35656;118-120 RUE DE LAGNY;BOUYGUES;2021-10-11;;;;;75020;"{""coordinates"": [2.4138945001828045, 48.84911099966778], ""type"": ""Point""}";48.84911099966778, 2.4138945001828045
75104_002_01;RUE DE BEAUBOURG;FREE MOBILE;2016-01-13;2016-01-13;;;3G/4G;75004;"{""coordinates"": [2.354445225950596, 48.86294431500232], ""type"": ""Point""}";48.86294431500232, 2.354445225950596
75106_008_07;24 RUE DU REGARD;FREE MOBILE;2015-02-05;2015-02-05;;;3G/4G;75006;"{""coordinates"": [2.3268644997064696, 48.84734700000997], ""type"": ""Point""}";48.84734700000997, 2.3268644997064696
75107_012_02;3, rue Vauban;FREE MOBILE;2014-01-20;2014-01-20;;;3G/4G;75007;"{""coordinates"": [2.3134634998450934, 48.85332299992724], ""type"": ""Point""}";48.85332299992724, 2.3134634998450934
75107_044_04;30 Avenue Bosquet;FREE MOBILE;2023-03-28;2023-03-28;2023-04-13;;3G/4G/5G;75007;"{""coordinates"": [2.3038920001255927, 48.857418000365506], ""type"": ""Point""}";48.857418000365506, 2.3038920001255927
75108_051_02;12 rue de Marignan;FREE MOBILE;2017-12-05;2017-12-05;2023-02-28;;3G/4G/5G;75008;"{""coordinates"": [2.306356944080051, 48.8685143160848], ""type"": ""Point""}";48.8685143160848, 2.306356944080051
75109_002_03;51 RUE SAINT GEORGES;FREE MOBILE;2012-10-30;2013-12-19;;;3G/4G/5G;75009;"{""coordinates"": [2.3375080782852673, 48.87814565317702], ""type"": ""Point""}";48.87814565317702, 2.3375080782852673
75109_047_01;23, rue de Mogador;FREE MOBILE;2021-12-03;2021-12-03;2022-12-21;;3G/4G/5G;75009;"{""coordinates"": [2.331269999331108, 48.87518400008942], ""type"": ""Point""}";48.87518400008942, 2.331269999331108
75109_044_01;29 BOULEVARD DE CLICHY;FREE MOBILE;2022-03-14;2022-03-14;2022-04-14;;3G/4G/5G;75009;"{""coordinates"": [2.335909500563979, 48.882582000378925], ""type"": ""Point""}";48.882582000378925, 2.335909500563979
